2024-08-06 11:41:25,923 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Configure stats pid to 577737
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Loading settings from /home/user/.config/wandb/settings
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Loading settings from /home/user/NgoQuang/truck_classification/modular/wandb/settings
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'truck_classification/modular/draw_graph.py', 'program_abspath': '/home/user/NgoQuang/truck_classification/modular/draw_graph.py', 'program': '/home/user/NgoQuang/truck_classification/modular/draw_graph.py'}
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-06 11:41:25,924 INFO    MainThread:577737 [wandb_init.py:_log_setup():529] Logging user logs to /home/user/NgoQuang/truck_classification/modular/wandb/run-20240806_114125-fg9n3al4/logs/debug.log
2024-08-06 11:41:25,925 INFO    MainThread:577737 [wandb_init.py:_log_setup():530] Logging internal logs to /home/user/NgoQuang/truck_classification/modular/wandb/run-20240806_114125-fg9n3al4/logs/debug-internal.log
2024-08-06 11:41:25,925 INFO    MainThread:577737 [wandb_init.py:init():569] calling init triggers
2024-08-06 11:41:25,925 INFO    MainThread:577737 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 20}
2024-08-06 11:41:25,925 INFO    MainThread:577737 [wandb_init.py:init():619] starting backend
2024-08-06 11:41:25,925 INFO    MainThread:577737 [wandb_init.py:init():623] setting up manager
2024-08-06 11:41:25,927 INFO    MainThread:577737 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-06 11:41:25,929 INFO    MainThread:577737 [wandb_init.py:init():631] backend started and connected
2024-08-06 11:41:25,932 INFO    MainThread:577737 [wandb_init.py:init():720] updated telemetry
2024-08-06 11:41:25,938 INFO    MainThread:577737 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-08-06 11:41:26,402 INFO    MainThread:577737 [wandb_run.py:_on_init():2435] communicating current version
2024-08-06 11:41:26,609 INFO    MainThread:577737 [wandb_run.py:_on_init():2444] got version response 
2024-08-06 11:41:26,610 INFO    MainThread:577737 [wandb_init.py:init():804] starting run threads in backend
2024-08-06 11:41:33,728 INFO    MainThread:577737 [wandb_run.py:_console_start():2413] atexit reg
2024-08-06 11:41:33,728 INFO    MainThread:577737 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-08-06 11:41:33,729 INFO    MainThread:577737 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-08-06 11:41:33,729 INFO    MainThread:577737 [wandb_run.py:_redirect():2345] Redirects installed.
2024-08-06 11:41:33,729 INFO    MainThread:577737 [wandb_init.py:init():847] run started, returning control to user process
2024-08-06 11:41:39,711 WARNING MsgRouterThr:577737 [router.py:message_loop():77] message_loop has been closed
