/home/user/NgoQuang/truck_classification/modular/draw_graph.py:33: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path)
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch=1, accuracy=0.9808884297520661, loss=0.06338710729840927
epoch=2, accuracy=0.9860537190082644, loss=0.046168047744633574
epoch=3, accuracy=0.9832128099173554, loss=0.05514583145489547
epoch=4, accuracy=0.9852789256198347, loss=0.04762824833939575
epoch=5, accuracy=0.9852789256198347, loss=0.044361698123711074
epoch=6, accuracy=0.9803719008264463, loss=0.05500928162571143
epoch=7, accuracy=0.9894111570247934, loss=0.038319364421970155
epoch=8, accuracy=0.9870867768595041, loss=0.037232348367317834
epoch=9, accuracy=0.9805291052820697, loss=0.05222457789715903
epoch=10, accuracy=0.9855371900826446, loss=0.048066548440770886
epoch=11, accuracy=0.9857954545454546, loss=0.0479659761082331
epoch=12, accuracy=0.9801136363636364, loss=0.05212593048114391
epoch=13, accuracy=0.9816632231404959, loss=0.053155307151465714
epoch=14, accuracy=0.9860537190082644, loss=0.04465454001455486
epoch=15, accuracy=0.9823369565217391, loss=0.049801678251482795
epoch=16, accuracy=0.9865702479338843, loss=0.03721580873551386
epoch=17, accuracy=0.9829545454545454, loss=0.05070423521077422
epoch=18, accuracy=0.9868285123966942, loss=0.03543783125009634
epoch=19, accuracy=0.9886363636363636, loss=0.04090842203966396
epoch=20, accuracy=0.987345041322314, loss=0.034888065664226586
epoch=1, accuracy=0.9813038986704995, loss=0.061218845765760616
epoch=2, accuracy=0.9896694214876033, loss=0.030468466461487962
epoch=3, accuracy=0.9894111570247934, loss=0.03458851093088646
epoch=4, accuracy=0.9868285123966942, loss=0.041391140004920134
epoch=5, accuracy=0.9886363636363636, loss=0.03708490536861845
epoch=6, accuracy=0.9891528925619835, loss=0.04509957781762247
epoch=7, accuracy=0.984504132231405, loss=0.04724444610149453
epoch=8, accuracy=0.9899276859504132, loss=0.03809028727720176
epoch=9, accuracy=0.9888946280991735, loss=0.03508559121224261
epoch=10, accuracy=0.9881198347107438, loss=0.04012775318383206
epoch=11, accuracy=0.9852789256198347, loss=0.047770242883115696
epoch=12, accuracy=0.9881198347107438, loss=0.045925701681783324
epoch=13, accuracy=0.9885353036291772, loss=0.04210829851662544
epoch=14, accuracy=0.987603305785124, loss=0.04461451112007682
epoch=15, accuracy=0.9878615702479339, loss=0.04535858482923378
epoch=16, accuracy=0.9878615702479339, loss=0.04752964473586007
epoch=17, accuracy=0.9912190082644629, loss=0.04066680911240506
epoch=18, accuracy=0.9878615702479339, loss=0.048107492674187013
epoch=19, accuracy=0.986210923463888, loss=0.04161305326984306
epoch=20, accuracy=0.9888946280991735, loss=0.03562548942022095
epoch=1, accuracy=0.9855371900826446, loss=0.05221118078915131
epoch=2, accuracy=0.9857954545454546, loss=0.041330229608252576
epoch=3, accuracy=0.9886363636363636, loss=0.03665573842121646
epoch=4, accuracy=0.987603305785124, loss=0.04304474321994228
epoch=5, accuracy=0.989051832554797, loss=0.04516699718478476
epoch=6, accuracy=0.9875022457779375, loss=0.0402562097202643
epoch=7, accuracy=0.9852789256198347, loss=0.047596632720530226
epoch=8, accuracy=0.9846613366870284, loss=0.049113080868882816
epoch=9, accuracy=0.9880187747035574, loss=0.04269401884828932
epoch=10, accuracy=0.984245867768595, loss=0.050025132257435545
epoch=11, accuracy=0.9857954545454546, loss=0.045700151404432766
epoch=12, accuracy=0.9863119834710744, loss=0.05075423264960674
epoch=13, accuracy=0.986210923463888, loss=0.04952310311561204
epoch=14, accuracy=0.9851778656126482, loss=0.04707260975964879
epoch=15, accuracy=0.9878615702479339, loss=0.04735265072656696
epoch=16, accuracy=0.9852789256198347, loss=0.05264549797459401
epoch=17, accuracy=0.987603305785124, loss=0.047469124772971015
epoch=18, accuracy=0.9894111570247934, loss=0.044991675951873616
epoch=19, accuracy=0.9875022457779375, loss=0.054540893517959606
epoch=20, accuracy=0.9883780991735537, loss=0.05156803842815864
